"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"10582146";-2,07875303826459;6,93221767788681;-8,06839119381262;1,87605910502251e-05;0,000571560437784663;3,26340212737333
"10538927";-2,10872850834262;7,60541290009505;-8,06719056517836;1,87832750499485e-05;0,000571560437784663;3,26214074646785
"10538932";-2,14751259842631;7,83763075156611;-8,00346179018971;2,00315692358442e-05;0,000589604698468276;3,19496119073583
"10474467";2,18460132654145;4,16008124898058;7,9889108374157;2,03291592391632e-05;0,0005897148218625;3,17955986934389
"10573975";2,04641640558316;5,76999733939373;7,95631464255137;2,10135337282193e-05;0,000601406764901546;3,14497401401906
"10347398";-2,02933743409918;7,57388748890401;-7,84552028598659;2,35351822612615e-05;0,000628123310511452;3,02653462332145
"10361091";2,30497696960701;8,73271871069627;7,54802311262935;3,21034829584038e-05;0,000743514385251407;2,70162576486201
"10350149";2,62789705706966;9,46211908343722;7,38794432591771;3,80862013992149e-05;0,000823718355809298;2,52253695825874
"10574166";2,62061226057269;9,09899303833099;7,31311247240328;4,12925236928511e-05;0,000853944350592963;2,43777141031313
"10375259";2,42305792374416;3,91303506862741;7,23879197230729;4,47711491939905e-05;0,00088832755621737;2,352915718444
"10346250";-2,91604989796184;7,16454545247253;-7,20471566088999;4,64721217671471e-05;0,0009019447388388;2,31378412643216
"10413726";2,54987954119248;9,67829832244542;7,09017078616717;5,27279099286657e-05;0,00096638843578538;2,1812000080049
"10498119";2,23731548872983;6,3664517680345;7,08368369776527;5,31087361778834e-05;0,000967384335830339;2,17364271394349
"10531415";2,40284452640785;4,75353910435519;7,07033764455463;5,39016995261717e-05;0,000979820464392924;2,15807842815902
"10525343";2,05892072740609;10,8606214978688;6,78431881521367;7,44183730155899e-05;0,00118975704628701;1,81912389993367
"10605874";2,44064174760782;8,20583986544315;6,71545434073681;8,05430286536215e-05;0,00125825480088232;1,73595035382341
"10598075";-2,16174388046835;4,82451495690018;-6,69671371164217;8,23034061941994e-05;0,00127543358829644;1,71320905095899
"10518812";2,33459148795695;7,33134716906922;6,6351916399961;8,83836244747721e-05;0,00132040678648109;1,63823090796468
"10559547";2,17314555609754;10,4555055243114;6,40120085599314;0,000116394514975351;0,00155817898134924;1,34849041637723
"10472398";2,13790360029087;5,13544580863501;6,19948183532241;0,000148383761979791;0,00176965191068217;1,09279485329704
"10359644";-2,36419682206004;5,00006434768613;-6,08129951084713;0,000171482692830034;0,00195424314944381;0,940396392042336
"10419934";2,37352557947106;10,9727414751087;5,8833697424338;0,000219397756438784;0,00227251872642387;0,680803644849234
"10598077";-2,01079011229002;6,6734405131738;-5,15607449426719;0,000568011752364476;0,00383084709162961;-0,321063431286623
"10513420";2,72487883627173;8,80952537841762;5,14994947223289;0,000572761073236111;0,00385463489075639;-0,3298253665371
"10513472";2,63595858686647;8,6243398671937;5,11805015996604;0,000598197188312886;0,00397412167930736;-0,375545723450663
"10513437";2,71471518435403;8,60531698794795;5,11026603191586;0,000604587117979369;0,00398973637098635;-0,38672487159406
"10513467";2,4582669576867;8,17986629202776;5,08784888879166;0,000623403357721471;0,00406443153263284;-0,418968211870594
"10513455";2,73036757611302;8,64592546021109;5,08483177507968;0,00062598359390532;0,00406443153263284;-0,423313386221753
"10513428";2,63446947056671;8,3829994723735;5,0820444856926;0,000628377504005321;0,00407061903915018;-0,427328744424283
"10513512";2,69458197881904;6,40960317572754;5,06426626001369;0,000643880456587068;0,00412597808930859;-0,452966451478899
"10513504";2,59776368543449;8,67157600741361;5,03501050626444;0,000670295377631351;0,00423171563335588;-0,49525527830605
"10513497";2,5721802160761;7,96844915130725;4,99573829913791;0,000707602940842992;0,00434384153394569;-0,552217283725891
"10354299";-2,03605671852362;4,56898472509514;-4,03368661377293;0,00285934634911884;0,00985526548946003;-2,01489551551309
"10558673";2,11634538785241;8,80518638052805;3,95796167329436;0,00320941486264591;0,0105739394788953;-2,13513618117863
"10370603";-2,0102301989479;4,68294861670527;-3,89744086803186;0,00352173193714514;0,0112473931178141;-2,23170581987546
"10601473";-2,25105669985474;7,16938320487327;-2,06406915710359;0,0685233422744936;0,106897857051241;-5,2199474469325
