"";"GSM1720834_ControlQuad2.CEL";"GSM1720833_ControlQuad1.CEL";"GSM1720837_ControlQuad5.CEL";"GSM1720835_ControlQuad3.CEL";"GSM1720840_cKOQuad2.CEL";"GSM1720844_cKOQuad6.CEL";"GSM1720839_cKOQuad1.CEL";"GSM1720842_cKOQuad4.CEL"
"10377148";6,9113812670103;6,99054509032184;6,60436728214159;6,63767725930258;9,95081329242965;9,91598992086842;9,4578065053566;9,2371296847293
"10396952";5,93897003225704;7,07620641237886;6,29164208048105;5,68322957500606;9,27587338925977;9,50409170663564;9,24900460640661;9,47976276464097
"10399725";4,00129046633829;4,13227417601385;4,15510758318899;3,71638117485233;6,51504071906273;6,5966560595929;6,95767719869649;6,61364488657933
"10404649";5,16301516273012;5,20241296361966;3,77281733168148;4,72667300002139;8,91900106686175;9,74612077975536;8,25675284031101;8,61604922367979
"10413726";8,14292343949467;9,64413881036861;7,81296319951029;8,01340875802313;10,9916484602507;11,1368383512755;10,7546088936475;10,9298566669929
"10419934";9,4780280263467;11,1925781824799;9,09962910161146;9,37367943105477;12,1667050185077;12,3881792488596;12,0408745852768;12,042258206733
"10421526";7,90207904140779;8,4744248270296;8,09586983096281;8,00729101870201;10,1991543953035;10,1523054242339;10,1932058593608;10,0833761981196
"10424221";5,57645525777767;6,65674689269366;5,46585551501307;5,95262617608956;8,27484724958905;7,90803273083035;8,10949460007825;7,97377668161033
"10427075";5,65838109497326;5,69948716284831;5,1614190682159;5,04760225164351;8,45048579935044;8,58602667103326;8,29393954315165;8,15693181089588
"10431874";4,62316998736207;4,70947420270116;4,53640451665234;4,69160446887854;7,04097040180344;7,10316201596683;6,49088753534649;6,57418199252933
"10434860";6,47135242334939;6,24600616468125;6,7121254401691;6,12239257084388;9,61812371536914;9,1682527513131;9,2648587448769;9,15987967983093
"10438753";7,05822327249552;7,24486232309723;6,50458176321328;7,36217891048257;9,49606139339102;10,1129534826031;9,09981280982026;9,63091282515273
"10438909";4,92202451633786;4,67943120153086;4,4274944546885;4,50794148886621;6,95265687170121;6,62904635997182;6,92171484226315;6,54265645730228
"10438911";8,60009848095804;8,63220782226364;8,38718077667841;8,54100432666987;10,6440298882355;10,5744489485059;10,6190931038022;10,3323822981716
"10440091";6,27877816089913;6,04380497202216;6,21915570672564;6,48259585787288;8,56366860300425;8,45557968727897;8,71091578734355;8,70658207637467
"10441003";5,95256974131997;5,87497574924836;5,54927124080691;5,72619838944438;8,84841452477833;8,88407276695695;8,60821447890281;8,53136927678446
"10441361";5,08585457364893;5,44503250287408;4,43642049825805;4,97227975198871;7,5598610832812;6,88426679494164;6,95131628249306;6,9446041749196
"10443463";8,24344910872902;8,94936748526291;7,27127431006608;7,83355294963208;10,5463177225141;10,59770175071;10,7042561216486;10,4053416434925
"10443854";6,76656368404164;6,50885388516086;7,21681491922159;7,0547527248762;4,232021584858;4,42360743214036;3,74811640826021;3,94648634192505
